Label,Text
0,Great to hear you are settling well. So what's happenin wit ola?
0,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
0,No. I dont want to hear anything
0,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
0,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
0,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
0,Ok...
0,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?"
1,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
0,Ya! when are ü taking ure practical lessons? I start in june..  
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
0,"That's cool, I'll come by like  &lt;#&gt; ish"
1,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
0,Webpage s not available!
1,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
0,I've reached home n i bathe liao... U can call me now...
0,Sorry me going home first... Daddy come fetch ü later...
0,"Hurry up, I've been weed-deficient for like three days"
0,How was txting and driving
1,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
1,"accordingly. I repeat, just text the word ok on your mobile phone and send"
1,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
0,"Hiya, had a good day? Have you spoken to since the weekend?"
1,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
0,My uncles in Atlanta. Wish you guys a great semester.
0,Hai priya are you right. What doctor said pa. Where are you.
0,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
1,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
0,How much are we getting?
0,Be sure to check your yahoo email. We sent photos yesterday
0,No no. I will check all rooms befor activities
0,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
1,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
1,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
0,"Aight, sounds good. When do you want me to come down?"
0,Yes princess! I want to please you every night. Your wish is my command...
1,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
1,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P"
0,Shuhui has bought ron's present it's a swatch watch...
1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
0,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
1,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
1,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
0,Ü still got lessons?  Ü in sch?
0,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
